seat_type,rank,percentile,gender,college_branch,,,
GVJH,25236,86.402198,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
GNT1H,29891,83.8902317,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
GNT2H,29197,84.1949276,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
GNT3H,32709,82.3877908,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
GOBCH,26900,85.606492,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
LOPENH,19777,89.3887863,F,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
LSCH,40577,77.8495773,F,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
LSTH,47880,72.9031949,F,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
LOBCH,22081,88.0916175,F,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
PWDOPENH,118588,7.0709457,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
GOPENO,16974,90.8511759,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
GSCO,20041,89.2369593,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
GSTO,68909,59.0639291,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
GVJO,17475,90.5561883,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
GNT2O,28088,84.8888044,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
GOBCO,17108,90.8078665,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
LOPENO,12513,93.1886737,F,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
LSCO,21545,88.4671878,F,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
